id,lon,lat,title,roi_err,w_code,level,far_fog_color,s_value,l_value,v_value,hsl,road_code
65,37.7585460,128.8047310,소사리_20170101_0800-0830_주간_안개_3.avi,N,fog,1,162,0,0,1020,0,0
66,37.7585460,128.8047310,소사리_20170102_1330_1400_주간_안개.avi,N,fog,1,168,0,0,1020,0,0
67,37.7585460,128.8047310,소사리_20170102_1330_1400_주간_안개_2.avi,N,fog,1,168,0,0,780,0,0
68,37.7585460,128.8047310,소사리_20170102_1330_1400_주간_안개_3.avi,N,fog,1,167,0,0,1020,0,0
69,37.7585460,128.8047310,소사리_20170107_0800-0830_주간_안개.avi,N,fog,1,163,0,0,1020,0,0
70,37.7585460,128.8047310,소사리_20170107_0800-0830_주간_안개_2.avi,N,fog,1,164,0,0,1020,0,0
71,37.7585460,128.8047310,소사리_20170107_0800-0830_주간_안개_3.avi,N,fog,1,164,0,0,1020,0,0
72,37.7585460,128.8047310,소사리_20170112_0800-0830_주간_안개.avi,N,fog,1,156,0,0,1020,0,0
1,37.7585460,128.8047310,소사리_20170112_0800-0830_주간_안개_2.avi,N,fog,0,0,0,0,1000,0,0
2,37.7585460,128.8047310,소사리_20170112_0800-0830_주간_안개_3.avi,N,fog,0,0,0,0,1000,0,0
3,37.7585460,128.8047310,소사리_20170113_1200-1230_주간_눈.avi,N,snow,0,0,0,0,1000,0,0
4,37.7585460,128.8047310,소사리_20170113_1200-1230_주간_눈_2.avi,N,snow,0,0,0,0,1000,0,0
5,37.7585460,128.8047310,소사리_20170113_1200-1230_주간_눈_3.avi,N,snow,0,0,0,0,1000,0,0
6,37.7585460,128.8047310,소사리_20170120_0800-0830_주간_눈안개.avi,N,snow,0,0,0,0,1000,0,0
7,37.7585460,128.8047310,소사리_20170120_0800-0830_주간_눈안개_2.avi,N,snow,0,0,0,0,1000,0,0
8,37.7585460,128.8047310,소사리_20170120_0800-0830_주간_눈안개_3.avi,N,snow,0,0,0,0,1000,0,0
9,37.7585460,128.8047310,소사리_20170120_1100-1130_주간_눈안개.avi,N,snow,0,0,0,0,1000,0,0
10,37.7585460,128.8047310,소사리_20170120_1100-1130_주간_눈안개_2.avi,N,snow,0,0,0,0,1000,0,0
11,37.7585460,128.8047310,소사리_20170120_1100-1130_주간_눈안개_3.avi,N,snow,0,0,0,0,1000,0,0
12,37.7585460,128.8047310,소사리_20170121_0800-0830_주간_안개.avi,N,fog,0,0,0,0,1000,0,0
13,37.7585460,128.8047310,소사리_20170121_0800-0830_주간_안개_2.avi,N,fog,0,0,0,0,1000,0,0
14,37.7585460,128.8047310,소사리_20170121_0800-0830_주간_안개_3.avi,N,fog,0,0,0,0,1000,0,0
15,37.7585460,128.8047310,소사리_20170129_1500-1600_주간_눈.avi,N,snow,0,0,0,0,1000,0,0
16,37.7585460,128.8047310,소사리_20170129_1500-1600_주간_눈_2.avi,N,snow,0,132,0,0,1020,0,0
17,37.7585460,128.8047310,소사리_20170129_1500-1600_주간_눈_3.avi,N,snow,0,132,0,0,1020,0,0
18,37.7585460,128.8047310,소사리_20170130_0900-1000_주간_눈.avi,N,snow,1,147,0,0,1020,0,0
19,37.7585460,128.8047310,소사리_20170130_0900-1000_주간_눈_2.avi,N,snow,1,150,0,0,1020,0,0
20,37.7585460,128.8047310,소사리_20170130_0900-1000_주간_눈_3.avi,N,snow,1,148,0,0,1020,0,0
21,37.7585460,128.8047310,속사_20170113_1200-1230_주간_눈.avi,N,snow,1,154,0,0,108,0,0
22,37.7585460,128.8047310,속사_20170113_1200-1230_주간_눈_2.avi,N,snow,1,153,0,0,107,0,0
23,37.7585460,128.8047310,속사_20170113_1200-1230_주간_눈_3.avi,N,snow,1,148,0,0,106,0,0
24,37.7585460,128.8047310,속사_20170120_1100-1130_주간_눈안개.avi,N,fog,1,160,0,0,51,0,0
25,37.7585460,128.8047310,속사_20170120_1100-1130_주간_눈안개_2.avi,N,snow,1,162,0,0,0,0,0
26,37.7585460,128.8047310,속사_20170120_1100-1130_주간_눈안개_3.avi,N,snow,1,159,0,0,0,0,0
27,37.7585460,128.8047310,속사_20170120_1600-1630_주간_눈_3.avi,N,snow,1,131,0,0,1020,0,0
28,37.7585460,128.8047310,속사_20170129_1500-1600_주간_눈.avi,N,snow,1,145,0,0,111,0,0
29,37.7585460,128.8047310,속사_20170129_1500-1600_주간_눈_2.avi,N,snow,1,140,0,0,112,0,0
30,37.7585460,128.8047310,속사_20170129_1500-1600_주간_눈_3.avi,N,snow,1,153,0,0,93,0,0
31,37.7585460,128.8047310,원주_20170103_1100-1130_주간_안개.avi,N,fog,1,171,0,0,21,0,0
32,37.7585460,128.8047310,원주_20170103_1100-1130_주간_안개_2.avi,N,fog,1,172,0,0,176,0,0
33,37.7585460,128.8047310,원주_20170103_1100-1130_주간_안개_3.avi,N,fog,2,169,0,0,30,0,0
34,37.7585460,128.8047310,원주_20170105_0830-0900_주간_안개.avi,N,fog,0,144,0,0,1020,0,0
35,37.7585460,128.8047310,원주_20170105_0830-0900_주간_안개_2.avi,N,fog,0,144,0,0,1020,0,0
36,37.7585460,128.8047310,원주_20170105_0830-0900_주간_안개_3.avi,N,fog,0,142,0,0,1020,0,0
37,37.7585460,128.8047310,원주_20170120_0900-0930_주간_눈.avi,N,snow,0,147,0,0,1020,0,0
38,37.7585460,128.8047310,원주_20170120_0900-0930_주간_눈_2.avi,N,snow,0,151,0,0,1020,0,0
39,37.7585460,128.8047310,원주_20170120_0900-0930_주간_눈_3.avi,N,snow,0,147,0,0,1020,0,0
40,37.7585460,128.8047310,월정리_20170113_1030-1100_주간_눈흔들림.avi,N,snow,1,155,0,0,1020,0,0
41,37.7585460,128.8047310,월정리_20170113_1030-1100_주간_눈흔들림_2.avi,N,snow,1,156,0,0,1020,0,0
42,37.7585460,128.8047310,월정리_20170113_1030-1100_주간_눈흔들림_3.avi,N,snow,1,161,0,0,1020,0,0
43,37.7585460,128.8047310,월정리_20170117_1000-1100_주간_안개.avi,N,fog,0,133,0,0,1020,0,0
44,37.7585460,128.8047310,월정리_20170117_1000-1100_주간_안개_2.avi,N,fog,1,141,0,0,1020,0,0
45,37.7585460,128.8047310,월정리_20170117_1000-1100_주간_안개_3.avi,N,fog,1,148,0,0,0,0,0
46,37.7585460,128.8047310,월정리_20170120_1030-1100_주간_눈안개.avi,N,snow,1,169,0,0,46,0,0
47,37.7585460,128.8047310,월정리_20170120_1030-1100_주간_눈안개_2.avi,N,snow,1,172,0,0,59,0,0
48,37.7585460,128.8047310,월정리_20170120_1030-1100_주간_눈안개_3.avi,N,snow,0,172,0,0,81,0,0
49,37.7585460,128.8047310,월정리_20170129_1600-1700_주간_눈.avi,N,fog,1,162,0,0,1020,0,0
50,37.7585460,128.8047310,월정리_20170129_1600-1700_주간_눈_2.avi,N,fog,1,161,0,0,1020,0,0
51,37.7585460,128.8047310,월정리_20170129_1600-1700_주간_눈_3.avi,N,snow,0,162,0,0,1020,0,0
52,37.7585460,128.8047310,월정리_20170130_1600-1700_주간_눈.avi,N,fog,1,165,0,0,1020,0,0
53,37.7585460,128.8047310,월정리_20170130_1600-1700_주간_눈_2.avi,N,fog,1,163,0,0,1020,0,0
54,37.7585460,128.8047310,월정리_20170130_1600-1700_주간_눈_3.avi,N,snow,1,161,0,0,1020,0,0
55,37.7585460,128.8047310,유천리_20170105_0900-0930_주간_눈_3.avi,N,snow,0,120,0,0,1020,0,0
56,37.7585460,128.8047310,유천리_20170113_1130-1200_주간_눈.avi,N,fog,1,103,0,0,1020,0,0
58,37.7585460,128.8047310,유천리_20170113_1130-1200_주간_눈_3.avi,N,snow,0,96,0,0,1020,0,0
59,37.7585460,128.8047310,유천리_20170120_1000-1100_주간_눈안개.avi,N,snow,0,109,0,0,1020,0,0
60,37.7585460,128.8047310,유천리_20170120_1000-1100_주간_눈안개_2.avi,N,snow,0,111,0,0,1020,0,0
61,37.7585460,128.8047310,유천리_20170120_1000-1100_주간_눈안개_3.avi,N,snow,0,108,0,0,1020,0,0
62,37.7585460,128.8047310,유천리_20170121_1730-1800_주간_눈안개_2.avi,N,fog,1,103,0,0,1020,0,0
63,37.7585460,128.8047310,유천리_20170121_1730-1800_주간_눈안개_3.avi,N,fog,1,111,0,0,999,0,0
64,37.7585460,128.8047310,유천리_20170129_1600-1700_주간_눈비안개.avi,N,fog,1,118,0,0,1020,0,0
65,37.7585460,128.8047310,유천리_20170129_1600-1700_주간_눈비안개_2.avi,N,fog,1,109,0,0,1020,0,0
66,37.7585460,128.8047310,유천리_20170129_1600-1700_주간_눈비안개_3.avi,N,fog,1,117,0,0,1020,0,0
67,37.7585460,128.8047310,유천리_20170130_1600-1700_주간_눈.avi,N,snow,0,97,0,0,1020,0,0
68,37.7585460,128.8047310,유천리_20170130_1600-1700_주간_눈_2.avi,N,snow,0,96,0,0,1020,0,0
69,37.7585460,128.8047310,유천리_20170130_1600-1700_주간_눈_3.avi,N,snow,0,102,0,0,1020,0,0
70,37.7585460,128.8047310,진부_20170113_1030-1100_주간_눈안개.avi,N,fog,1,158,0,0,1020,0,0
1,37.7585460,128.8047310,진부_20170113_1030-1100_주간_눈안개.avi,N,fog,1,158,0,0,1020,0,0
71,37.7585460,128.8047310,진부_20170113_1030-1100_주간_눈안개_2.avi,N,fog,1,159,0,0,1020,0,0
2,37.7585460,128.8047310,진부_20170113_1030-1100_주간_눈안개_2.avi,N,fog,1,159,0,0,1020,0,0
3,37.7585460,128.8047310,진부_20170113_1030-1100_주간_눈안개_3.avi,N,fog,1,158,0,0,1020,0,0
4,37.7585460,128.8047310,진부_20170120_1030-1130_주간_눈안개.avi,N,fog,1,161,0,0,0,0,0
5,37.7585460,128.8047310,진부_20170120_1030-1130_주간_눈안개_2.avi,N,fog,1,159,0,0,0,0,0
6,37.7585460,128.8047310,진부_20170120_1030-1130_주간_눈안개_3.avi,N,fog,1,159,0,0,21,0,0
7,37.7585460,128.8047310,진부_20170120_1230-1300_주간_눈안개.avi,N,fog,1,152,0,0,21,0,0
8,37.7585460,128.8047310,진부_20170120_1230-1300_주간_눈안개_2.avi,N,fog,1,153,0,0,62,0,0
9,37.7585460,128.8047310,진부_20170120_1230-1300_주간_눈안개_3.avi,N,fog,1,156,0,0,21,0,0
10,37.7585460,128.8047310,진부_20170129_1600-1700_주간_눈안개.avi,N,snow,0,166,0,0,213,0,0
11,37.7585460,128.8047310,진부_20170129_1600-1700_주간_눈안개_2.avi,N,snow,0,169,0,0,205,0,0
12,37.7585460,128.8047310,진부_20170129_1600-1700_주간_눈안개_3.avi,N,snow,0,167,0,0,208,0,0
13,37.7585460,128.8047310,평창_20170113_1300-1330_주간_눈.avi,N,snow,1,147,0,0,1020,0,0
14,37.7585460,128.8047310,평창_20170113_1300-1330_주간_눈_2.avi,N,snow,1,149,0,0,1020,0,0
15,37.7585460,128.8047310,평창_20170113_1300-1330_주간_눈_3.avi,N,snow,1,152,0,0,1020,0,0
16,37.7585460,128.8047310,평창_20170129_1600-1700_주간_눈.avi,N,snow,0,154,0,0,196,0,0
17,37.7585460,128.8047310,평창_20170129_1600-1700_주간_눈_2.avi,N,rain,1,150,0,0,200,0,0
18,37.7585460,128.8047310,평창_20170129_1600-1700_주간_눈_3.avi,N,snow,0,153,0,0,205,0,0
19,37.7585460,128.8047310,평창휴게소(강릉)_20170101_0830-0900_주간_안개.avi,N,fog,0,163,0,0,1020,0,0
20,37.7585460,128.8047310,평창휴게소(강릉)_20170101_0830-0900_주간_안개_2.avi,N,fog,0,161,0,0,1020,0,0
21,37.7585460,128.8047310,평창휴게소(강릉)_20170101_0830-0900_주간_안개_3.avi,N,fog,1,157,0,0,1020,0,0
22,37.7585460,128.8047310,평창휴게소(강릉)_20170103_0800-0830_주간_안개.avi,N,fog,1,170,0,0,1020,0,0
23,37.7585460,128.8047310,평창휴게소(강릉)_20170103_0800-0830_주간_안개_2.avi,N,fog,1,170,0,0,1020,0,0
24,37.7585460,128.8047310,평창휴게소(강릉)_20170103_0800-0830_주간_안개_3.avi,N,fog,1,170,0,0,1020,0,0
25,37.7585460,128.8047310,평창휴게소(강릉)_20170107_0830-0900_주간_안개.avi,N,fog,0,166,0,0,1020,0,0
26,37.7585460,128.8047310,평창휴게소(강릉)_20170107_0830-0900_주간_안개_2.avi,N,fog,1,161,0,0,1020,0,0
27,37.7585460,128.8047310,평창휴게소(강릉)_20170107_0830-0900_주간_안개_3.avi,N,fog,1,154,0,0,1020,0,0
28,37.7585460,128.8047310,평창휴게소(강릉)_20170113_1030-1100_주간_눈.avi,N,snow,1,167,0,0,1020,0,0
29,37.7585460,128.8047310,평창휴게소(강릉)_20170113_1030-1100_주간_눈_2.avi,N,snow,1,165,0,0,1020,0,0
30,37.7585460,128.8047310,평창휴게소(강릉)_20170113_1030-1100_주간_눈_3.avi,N,snow,1,166,0,0,1020,0,0
31,37.7585460,128.8047310,평창휴게소(강릉)_20170120_0730-0800_주간_눈.avi,N,snow,0,158,0,0,1020,0,0
32,37.7585460,128.8047310,평창휴게소(강릉)_20170120_0730-0800_주간_눈_2.avi,N,snow,0,160,0,0,1020,0,0
33,37.7585460,128.8047310,평창휴게소(강릉)_20170120_0730-0800_주간_눈_3.avi,N,snow,0,157,0,0,1020,0,0
34,37.7585460,128.8047310,평창휴게소(강릉)_20170120_1500-1530_주간_눈흔들림.avi,N,snow,0,140,0,0,1020,0,0
35,37.7585460,128.8047310,평창휴게소(강릉)_20170120_1500-1530_주간_눈흔들림_2.avi,N,snow,0,131,0,0,1020,0,0
36,37.7585460,128.8047310,평창휴게소(강릉)_20170120_1500-1530_주간_눈흔들림_3.avi,N,snow,1,137,0,0,1020,0,0
37,37.7585460,128.8047310,평창휴게소(강릉)_20170129_1500-1600_주간_눈안개.avi,N,snow,0,142,0,0,1020,0,0
38,37.7585460,128.8047310,평창휴게소(강릉)_20170129_1500-1600_주간_눈안개_2.avi,N,snow,0,153,0,0,1020,0,0
39,37.7585460,128.8047310,평창휴게소(강릉)_20170129_1500-1600_주간_눈안개_3.avi,N,snow,0,161,0,0,1020,0,0
40,37.7585460,128.8047310,평창휴게소(강릉)_20170130_1000-1100_주간_눈안개.avi,N,snow,0,129,0,0,1020,0,0
41,37.7585460,128.8047310,평창휴게소(강릉)_20170130_1000-1100_주간_눈안개_2.avi,N,snow,0,138,0,0,1015,0,0
42,37.7585460,128.8047310,평창휴게소(강릉)_20170130_1000-1100_주간_눈안개_3.avi,N,snow,0,135,0,0,1017,0,0
43,37.7585460,128.8047310,후용리_20170101_0800-0830_주간_안개.avi,N,fog,0,150,0,0,1020,0,0
44,37.7585460,128.8047310,후용리_20170101_0800-0830_주간_안개_2.avi,N,fog,0,151,0,0,463,0,0
114,37.7585460,128.8047310,후용리_20170101_0800-0830_주간_안개_3.avi,N,fog,0,150,0,0,629,0,0
115,37.7585460,128.8047310,후용리_20170102_0830-0900_주간_안개.avi,N,fog,0,146,0,0,1020,0,0
116,37.7585460,128.8047310,후용리_20170102_0830-0900_주간_안개_2.avi,N,fog,0,149,0,0,1020,0,0
117,37.7585460,128.8047310,후용리_20170102_0830-0900_주간_안개_3.avi,N,fog,0,148,0,0,1020,0,0
118,37.7585460,128.8047310,후용리_20170103_1130-1200_주간_안개.avi,N,fog,2,166,0,0,0,0,0
119,37.7585460,128.8047310,후용리_20170103_1130-1200_주간_안개_2.avi,N,fog,2,167,0,0,0,0,0
120,37.7585460,128.8047310,후용리_20170103_1130-1200_주간_안개_3.avi,N,fog,1,169,0,0,40,0,0
121,37.7585460,128.8047310,후용리_20170113_1200-1230_주간_눈.avi,N,snow,1,126,0,0,1020,0,0
122,37.7585460,128.8047310,후용리_20170113_1200-1230_주간_눈_2.avi,N,snow,1,137,0,0,1020,0,0
123,37.7585460,128.8047310,후용리_20170113_1200-1230_주간_눈_3.avi,N,snow,1,132,0,0,1020,0,0
124,37.7585460,128.8047310,후용리_20170120_0800-0830_주간_안개.avi,N,fog,0,155,0,0,1020,0,0
125,37.7585460,128.8047310,후용리_20170120_0800-0830_주간_안개_2.avi,N,fog,1,155,0,0,1020,0,0
126,37.7585460,128.8047310,후용리_20170120_0800-0830_주간_안개_3.avi,N,fog,1,155,0,0,1020,0,0
127,37.7585460,128.8047310,후용리_20170121_0930-1000_주간_눈.avi,N,snow,1,150,0,0,1020,0,0
128,37.7585460,128.8047310,후용리_20170121_0930-1000_주간_눈_2.avi,N,snow,1,151,0,0,1020,0,0
129,37.7585460,128.8047310,후용리_20170121_0930-1000_주간_눈_3.avi,N,fog,1,149,0,0,1020,0,0
130,37.7585460,128.8047310,후용리_20170129_1600-1700_주간_비.avi,N,rain,0,125,0,0,1020,0,0
131,37.7585460,128.8047310,후용리_20170129_1600-1700_주간_비_2.avi,N,rain,0,126,0,0,1020,0,0
132,37.7585460,128.8047310,후용리_20170129_1600-1700_주간_비_3.avi,N,rain,0,131,0,0,1020,0,0